,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
0,Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,-3.959428723062075,-26.566142039240916,9936690
1,Cook,Cook,Cook County,17031,IL,Illinois,3.558771276937925,3.8417579607590824,5225367
2,Harris,Harris,Harris County,48201,TX,Texas,-8.423528723062073,-3.735242039240916,4726177
3,Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,-4.932328723062078,-20.83294203924092,4430871
4,San Diego,San Diego,San Diego County,6073,CA,California,-5.247028723062073,-25.076442039240916,3289701
5,Orange,Orange,Orange County,6059,CA,California,-4.578228723062075,-26.102342039240924,3175227
6,Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,-12.666328723062076,11.096157960759086,2688237
7,Kings,Kings,Kings County,36047,NY,New York,2.3599712769379266,17.720257960759085,2679620
8,Dallas,Dallas,Dallas County,48113,TX,Texas,-5.514728723062078,-5.119242039240916,2604053
9,Riverside,Riverside,Riverside County,6065,CA,California,-4.537728723062074,-24.33524203924091,2429487
10,Queens,Queens,Queens County,36081,NY,New York,2.422171276937924,17.83895796075909,2360826
11,Clark,Clark,Clark County,32003,NV,Nevada,-2.0661287230620715,-23.35494203924091,2265926
12,King,King,King County,53033,WA,Washington,9.208871276937927,-30.146642039240916,2254371
13,San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,-3.4399287230620743,-24.519942039240917,2180563
14,Tarrant,Tarrant,Tarrant County,48439,TX,Texas,-5.509428723062072,-5.632542039240917,2113854
15,Bexar,Bexar,Bexar County,48029,TX,Texas,-8.832428723062076,-6.861442039240913,2014059
16,Broward,Broward,Broward County,12011,FL,Florida,-12.129028723062074,11.171457960759085,1940907
17,Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,-1.0495287230620747,-30.036542039240913,1916831
18,Wayne,Wayne,Wayne County,26163,MI,Michigan,4.000871276937929,8.375557960759082,1781641
19,Alameda,Alameda,Alameda County,6001,CA,California,-0.6344287230620722,-30.230142039240917,1663823
20,New York,New York,New York County,36061,NY,New York,2.4978712769379285,17.691757960759077,1645867
21,Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,4.204271276937924,20.26675796075908,1623109
22,Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,1.7263712769379254,16.524657960759086,1593208
23,Sacramento,Sacramento,Sacramento County,6067,CA,California,0.16797127693792646,-29.68574203924092,1579211
24,Suffolk,Suffolk,Suffolk County,36103,NY,New York,2.586771276937924,18.81295796075908,1524486
25,Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,-11.633728723062074,11.193057960759077,1494805
26,Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,-10.352128723062073,9.349757960759078,1468560
27,Bronx,Bronx,Bronx County,36005,NY,New York,2.568771276937923,17.791357960759086,1443229
28,Orange,Orange,Orange County,12095,FL,Florida,-9.766928723062076,10.335057960759087,1427403
29,Nassau,Nassau,Nassau County,36059,NY,New York,2.4512712769379235,18.072357960759078,1389160
30,Franklin,Franklin,Franklin County,39049,OH,Ohio,1.688171276937922,8.649257960759087,1318149
31,Travis,Travis,Travis County,48453,TX,Texas,-7.946928723062076,-6.1234420392409135,1289054
32,Oakland,Oakland,Oakland County,26125,MI,Michigan,4.379071276937928,8.27275796075908,1272264
33,Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,6.723271276937929,-1.8184420392409208,1270787
34,Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,3.142971276937928,9.999957960759076,1256620
35,Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,2.187471276937927,11.677257960759079,1245310
36,Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,2.385971276937923,-20.26504203924091,1180643
37,Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,-0.362128723062078,-30.268942039240912,1162648
38,Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,0.5554712769379222,14.381557960759082,1145354
39,Wake,Wake,Wake County,37183,NC,North Carolina,-2.4910287230620725,13.008257960759082,1132103
40,Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,-3.0346287230620774,10.825757960759077,1115403
41,Collin,Collin,Collin County,48085,TX,Texas,-5.093328723062072,-4.913842039240919,1079153
42,Fulton,Fulton,Fulton County,13121,GA,Georgia,-4.491128723062076,7.191557960759084,1061944
43,Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,0.8549712769379241,14.454357960759083,1056910
44,Pima,Pima,Pima County,4019,AZ,Arizona,-6.183928723062074,-20.13134203924092,1042393
46,Fresno,Fresno,Fresno County,6019,CA,California,-1.5231287230620723,-27.990742039240914,1008280
47,St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,0.35937127693792803,1.215157960759086,999703
48,Westchester,Westchester,Westchester County,36119,NY,New York,2.881271276937923,17.90245796075908,997904
49,Duval,Duval,Duval County,12031,FL,Florida,-7.950028723062076,9.987057960759088,995708
50,Capitol,Capitol,Capitol Planning Region,9110,CT,Connecticut,3.5371712769379258,19.08655796075908,977165
51,Marion,Marion,Marion County,18097,IN,Indiana,1.5003712769379263,5.52005796075909,971737
52,Pinellas,Pinellas,Pinellas County,12103,FL,Florida,-10.361528723062076,8.933057960759086,959918
53,Gwinnett,Gwinnett,Gwinnett County,13135,GA,Georgia,-4.3194287230620745,7.634957960759081,957977
54,Prince George's,Prince George's,Prince George's County,24033,MD,Maryland,0.5481712769379286,14.811257960759079,957189
55,Bergen,Bergen,Bergen County,34003,NJ,New Jersey,2.6783712769379235,17.58435796075908,953243
56,Erie,Erie,Erie County,36029,NY,New York,4.482571276937925,12.926257960759088,951232
57,Milwaukee,Milwaukee,Milwaukee County,55079,WI,Wisconsin,4.725871276937923,3.6916579607590876,933063
58,DuPage,DuPage,DuPage County,17043,IL,Illinois,3.5706712769379223,3.5729579607590836,930559
59,Shelby,Shelby,Shelby County,47157,TN,Tennessee,-3.097028723062074,1.7647579607590842,926440
60,Pierce,Pierce,Pierce County,53053,WA,Washington,8.742571276937923,-30.445442039240916,918993
61,Denton,Denton,Denton County,48121,TX,Texas,-5.075828723062074,-5.458242039240915,914870
62,Kern,Kern,Kern County,6029,CA,California,-2.938728723062077,-27.07154203924091,906883
63,Macomb,Macomb,Macomb County,26099,MI,Michigan,4.414371276937928,8.726257960759085,878453
64,Hidalgo,Hidalgo,Hidalgo County,48215,TX,Texas,-11.884428723062076,-6.522642039240921,873167
65,El Paso,El Paso,El Paso County,48141,TX,Texas,-6.512728723062075,-14.576242039240924,863832
66,Middlesex,Middlesex,Middlesex County,34023,NJ,New Jersey,2.157871276937925,17.246857960759087,860147
67,Worcester,Worcester,Worcester County,25027,MA,Massachusetts,4.070071276937924,19.750857960759078,858898
68,Montgomery,Montgomery,Montgomery County,42091,PA,Pennsylvania,1.9294712769379245,16.291257960759083,856399
69,Essex,Essex,Essex County,34013,NJ,New Jersey,2.5066712769379222,17.41045796075909,853374
70,San Francisco,San Francisco,San Francisco County,6075,CA,California,-0.5257287230620733,-30.78644203924091,851036
71,Baltimore,Baltimore,Baltimore County,24005,MD,Maryland,1.1815712769379232,15.019057960759085,850737
72,Ventura,Ventura,Ventura County,6111,CA,California,-3.825228723062075,-27.42504203924092,842009
73,Fort Bend,Fort Bend,Fort Bend County,48157,TX,Texas,-8.753828723062075,-4.1123420392409145,832607
74,Snohomish,Snohomish,Snohomish County,53061,WA,Washington,9.766071276937929,-30.038642039240912,828337
75,Hamilton,Hamilton,Hamilton County,39061,OH,Ohio,0.9141712769379282,7.115757960759083,827671
76,Multnomah,Multnomah,Multnomah County,41051,OR,Oregon,7.265471276937923,-30.75634203924092,808098
77,Essex,Essex,Essex County,25009,MA,Massachusetts,4.391871276937927,20.706157960759086,806103
78,Oklahoma,Oklahoma,Oklahoma County,40109,OK,Oklahoma,-2.7298287230620772,-5.74864203924092,795822
79,Suffolk,Suffolk,Suffolk County,25025,MA,Massachusetts,4.051571276937928,20.585057960759087,785443
80,San Joaquin,San Joaquin,San Joaquin County,6077,CA,California,-0.3465287230620717,-29.612842039240917,779445
81,Jefferson,Jefferson,Jefferson County,21111,KY,Kentucky,-0.09412872306207731,5.999457960759088,779232
82,Lee,Lee,Lee County,12071,FL,Florida,-11.703328723062075,9.825357960759078,772902
83,Cobb,Cobb,Cobb County,13067,GA,Georgia,-4.339728723062073,7.081857960759081,765813
84,DeKalb,DeKalb,DeKalb County,13089,GA,Georgia,-4.509728723062075,7.432157960759085,761209
85,Monroe,Monroe,Monroe County,36055,NY,New York,4.865071276937925,13.962457960759082,756406
86,San Mateo,San Mateo,San Mateo County,6081,CA,California,-0.8585287230620722,-30.670542039240914,754250
87,Polk,Polk,Polk County,12105,FL,Florida,-10.332428723062076,9.960957960759089,736229
88,El Paso,El Paso,El Paso County,8041,CO,Colorado,0.5507712769379225,-12.866842039240922,730323
89,Norfolk,Norfolk,Norfolk County,25021,MA,Massachusetts,3.878971276937925,20.446757960759086,722112
